,timestamp,latitude,longitude,elevation,accuracy,bearing,speed_meters_per_second,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation,distance_meters,elapsed_time_seconds
687,1577399579.0,-27.686898433011784,-51.12555914325272,903.68254477316,4.0,12.448614,6.8332376,20,gps,0.8,1.2,1.5,3.6,,,,83,,6.838907824209965,1.0
688,1577399580.0,-27.686834579830776,-51.1255519353339,903.6173342666488,4.0,5.554627,7.1021614,20,gps,0.8,1.2,1.5,3.6,,,,83,,7.111487396205339,1.0
689,1577399581.0,-27.686765051986733,-51.125553546968895,903.459687333866,4.0,358.79068,7.7292447,20,gps,0.8,1.2,1.5,3.6,,,,83,,7.706327674710456,1.0
690,1577399582.0,-27.686692978749186,-51.12556062029605,903.3485150699936,4.0,355.12634,8.046043,20,gps,0.8,1.2,1.5,3.6,,,,83,,8.017174612785388,1.0
691,1577399583.0,-27.686618193944863,-51.125569837761965,903.2550280328112,4.0,353.7323,8.362261,20,gps,0.8,1.2,1.5,3.6,,,,83,,8.336966004734837,1.0
692,1577399584.0,-27.68654174883334,-51.12557937836068,903.1817011153524,4.0,353.57306,8.550784,20,gps,1.0,1.2,1.6,3.6,,,,83,,8.523338802167101,1.0
693,1577399585.0,-27.68646338799645,-51.12558610942081,902.9484369582908,4.0,355.6301,8.726456,20,gps,0.9,1.3,1.6,3.6,,,,83,,8.708859135321518,1.0
694,1577399586.0,-27.686384377653816,-51.1255955996705,902.8645172839342,4.0,354.43994,8.812705,20,gps,0.8,1.3,1.5,3.6,,,,83,,8.805391627263567,1.0
695,1577399587.0,-27.686305148132032,-51.12560414010054,902.8834599389148,4.0,353.65308,8.61084,20,gps,0.8,1.2,1.5,3.6,,,,83,,8.820100410729202,1.0
696,1577399588.0,-27.68623655590565,-51.12561804000824,902.7980603483971,4.0,350.3265,7.8293376,20,gps,0.8,1.3,1.5,3.6,,,,83,,7.7236901622562435,1.0
697,1577399589.0,-27.686172469594656,-51.125630095132514,902.8416801509784,4.0,350.79947,7.0097632,20,gps,0.8,1.2,1.5,3.6,,,,83,,7.200562989224024,1.0
698,1577399590.0,-27.68611906140298,-51.12563966332896,902.790475003347,4.0,351.26935,5.975843,20,gps,0.8,1.2,1.5,3.6,,,,83,,5.993187285118434,1.0
699,1577399591.0,-27.68607526697413,-51.12564777923661,902.7903672204504,4.0,351.48233,4.939686,20,gps,0.8,1.2,1.5,3.6,,,,83,,4.918646770661806,1.0
700,1577399592.0,-27.686040115455057,-51.12565369791175,902.8922783144726,4.0,352.20773,3.8134177,20,gps,0.8,1.2,1.5,3.6,,,,83,,3.938807246435594,1.0
701,1577399593.0,-27.686018936289784,-51.12565641852969,902.8974944194632,4.0,355.03003,2.3939753,20,gps,0.8,1.2,1.5,3.6,,,,83,,2.3622513613712703,1.0
