n	Session	location.seconds.Unix	location.millis	location.gpstime	location.lat	location.lon	location.alt	location.track	location.speed.M-S	location.acc	location.nsats
96	16655	1518257504	901	1518257505	41.23874606	-8.5426203	190.4	0	0	9	7
97	16655	1518257505	916	1518257506	41.23874539	-8.54262139	190.3	0	0	9	7
98	16655	1518257506	908	1518257507	41.23874518	-8.54262783	190.2	267.6	1	9	7
99	16655	1518257508	429	1518257508	41.2387429	-8.54265586	190.7	261.4	1.75	10	7
100	16655	1518257509	977	1518257510	41.23870601	-8.54272539	189.5	235.6	3	4	8
101	16655	1518257511	500	1518257511	41.23860805	-8.54278143	188.3	206.6	7	3	8
102	16655	1518257513	429	1518257513	41.23846994	-8.54286733	188	204	8.75	4	8
103	16655	1518257515	446	1518257515	41.23830016	-8.54298096	187.8	205.2	11.25	4	8
104	16655	1518257517	7	1518257517	41.23810255	-8.54312293	187.1	204.5	12.5	3	8
105	16655	1518257518	524	1518257518	41.2379921	-8.54318624	186.9	204.6	13.25	4	8
106	16655	1518257519	901	1518257520	41.23775695	-8.54334031	185.4	206.2	15	4	8
107	16655	1518257520	906	1518257521	41.23761925	-8.54342145	185.1	204	15.5	3	8
108	16655	1518257522	431	1518257522	41.23749322	-8.54350355	183.7	204.8	15.75	3	8
109	16655	1518257524	465	1518257524	41.23725899	-8.54365169	182.5	205	13.75	3	9
110	16655	1518257526	458	1518257526	41.2370533	-8.54378535	182.3	205.5	13	3	9
111	16655	1518257527	923	1518257528	41.23684775	-8.54391716	181.7	205.1	12.5	3	10
112	16655	1518257529	458	1518257529	41.23674076	-8.54398295	181.2	204.9	13	4	10
113	16655	1518257531	457	1518257531	41.23653981	-8.54410861	180.1	204.7	12.25	3	10
114	16655	1518257533	2	1518257533	41.23638496	-8.54421199	178.9	208.9	9	3	10
115	16655	1518257534	537	1518257534	41.23633256	-8.54427738	178.9	221.6	7.75	3	10
116	16655	1518257536	482	1518257536	41.23628365	-8.54442544	177.7	254.8	6.75	4	10
117	16655	1518257538	459	1518257538	41.23629735	-8.5445826	177.5	280.3	6.75	4	10
118	16655	1518257540	459	1518257540	41.23633315	-8.54475484	176.9	283.7	7.75	3	10
119	16655	1518257541	972	1518257542	41.23637371	-8.54492987	178	289.7	8.25	4	10
120	16655	1518257543	512	1518257543	41.23639667	-8.5450257	177.2	289.4	8.5	3	10
121	16655	1518257545	437	1518257545	41.23643339	-8.5452269	176.8	285.6	9	3	9
122	16655	1518257547	455	1518257547	41.23648007	-8.54541732	176.9	285.8	8.5	3	10
123	16655	1518257549	6	1518257549	41.2365126	-8.54559928	177.5	279.1	8	3	10
124	16655	1518257550	535	1518257550	41.23652446	-8.54570235	177.2	279.7	8.25	3	10
125	16655	1518257552	480	1518257552	41.23656247	-8.54591416	178.3	286.2	9.25	4	10
126	16655	1518257554	439	1518257554	41.23661259	-8.54613744	179.5	287.2	10	4	9
127	16655	1518257556	464	1518257556	41.23667494	-8.54638261	180.8	287.3	11.25	4	9
128	16655	1518257557	976	1518257558	41.23674352	-8.54665485	182	288	12	3	8
129	16655	1518257559	509	1518257559	41.23677433	-8.54678896	182.1	288.9	12	4	8
