n	Session	gps.seconds.Unix	gps.millis	gps.gpstime	gps.lat	gps.lon	gps.alt	gps.track	gps.speed.M-S	gps.epx	gps.nsats
701	4607	1411812821	598	1411812821	41.1693992614746	-8.59734916687012	195.399993896484			3	10
702	4607	1411812822	564	1411812822	41.1693992614746	-8.59734916687012	195.399993896484			3	10
703	4607	1411812823	586	1411812823	41.1693992614746	-8.59734916687012	195.399993896484			3	11
704	4607	1411812824	716	1411812824	41.1693992614746	-8.59734916687012	195.399993896484			3	11
705	4607	1411812825	555	1411812825	41.1693992614746	-8.59734916687012	195.399993896484			3	11
706	4607	1411812826	705	1411812826	41.1693992614746	-8.59734916687012	195.399993896484			3	11
707	4607	1411812827	479	1411812827	41.1693992614746	-8.59734916687012	195.399993896484			3	11
708	4607	1411812828	675	1411812828	41.1693992614746	-8.59734916687012	195.399993896484			3	11
709	4607	1411812829	437	1411812829	41.1693992614746	-8.59734916687012	195.399993896484			3	11
710	4607	1411812830	638	1411812830	41.1693992614746	-8.59734916687012	195.399993896484			3	11
711	4607	1411812831	604	1411812831	41.1693992614746	-8.59734916687012	195.399993896484			3	11
712	4607	1411812832	580	1411812832	41.1693992614746	-8.59734916687012	195.399993896484			3	11
713	4607	1411812833	735	1411812833	41.1693992614746	-8.59734916687012	195.399993896484			3	11
714	4607	1411812834	500	1411812834	41.1693992614746	-8.59734916687012	195.399993896484			3	11
715	4607	1411812835	736	1411812835	41.1693992614746	-8.59734916687012	195.399993896484			3	11
716	4607	1411812836	464	1411812836	41.1693992614746	-8.59734916687012	195.399993896484			3	11
717	4607	1411812837	581	1411812837	41.1693992614746	-8.59734916687012	195.399993896484			3	11
718	4607	1411812838	595	1411812838	41.1693992614746	-8.59734916687012	195.399993896484			3	10
719	4607	1411812839	575	1411812839	41.1693992614746	-8.59734916687012	195.399993896484			3	10
720	4607	1411812840	718	1411812840	41.1693992614746	-8.59734916687012	195.399993896484			3	10
721	4607	1411812841	511	1411812841	41.1693992614746	-8.59734916687012	195.399993896484			3	10
722	4607	1411812842	724	1411812842	41.1693992614746	-8.59734916687012	195.399993896484			3	10
723	4607	1411812843	475	1411812843	41.1693992614746	-8.59734916687012	195.399993896484			3	10
724	4607	1411812844	689	1411812844	41.1693992614746	-8.59734916687012	195.399993896484			3	10
725	4607	1411812845	410	1411812845	41.1693992614746	-8.59734916687012	195.399993896484			3	10
726	4607	1411812846	619	1411812846	41.1693992614746	-8.59734916687012	195.399993896484			3	10
727	4607	1411812847	638	1411812847	41.1693992614746	-8.5973482131958	195.399993896484			3	10
728	4607	1411812848	520	1411812848	41.1693992614746	-8.5973482131958	195.399993896484			3	10
729	4607	1411812849	755	1411812849	41.1693992614746	-8.5973482131958	195.399993896484			3	10
730	4607	1411812850	528	1411812850	41.1693992614746	-8.5973482131958	195.399993896484			3	10
731	4607	1411812851	646	1411812851	41.1693992614746	-8.5973482131958	195.399993896484			3	10
732	4607	1411812852	487	1411812852	41.1693992614746	-8.5973482131958	195.399993896484			4	10
733	4607	1411812853	665	1411812853	41.1693992614746	-8.5973482131958	195.399993896484			4	10
734	4607	1411812854	560	1411812854	41.1693992614746	-8.5973482131958	195.399993896484			4	10
735	4607	1411812855	564	1411812855	41.1693992614746	-8.5973482131958	195.399993896484			4	10
736	4607	1411812856	714	1411812856	41.1693992614746	-8.5973482131958	195.399993896484			4	10
737	4607	1411812857	533	1411812857	41.1693992614746	-8.5973482131958	195.399993896484			4	11
738	4607	1411812858	747	1411812858	41.1693992614746	-8.5973482131958	195.399993896484			4	11
739	4607	1411812859	417	1411812859	41.1693992614746	-8.5973482131958	195.399993896484			4	11
740	4607	1411812860	675	1411812860	41.1693992614746	-8.5973482131958	195.399993896484			4	11
741	4607	1411812861	472	1411812861	41.1693992614746	-8.5973482131958	195.399993896484			4	11
742	4607	1411812862	560	1411812862	41.1693992614746	-8.5973482131958	195.399993896484			4	11
743	4607	1411812863	607	1411812863	41.1693992614746	-8.5973482131958	195.399993896484			3	11
744	4607	1411812864	557	1411812864	41.1693992614746	-8.5973482131958	195.399993896484			3	11
745	4607	1411812865	713	1411812865	41.1693992614746	-8.5973482131958	195.399993896484			3	11
746	4607	1411812866	535	1411812866	41.1693992614746	-8.5973482131958	195.399993896484			3	11
747	4607	1411812867	666	1411812867	41.1693992614746	-8.5973482131958	195.399993896484			3	11
748	4607	1411812868	481	1411812868	41.1693992614746	-8.5973482131958	195.399993896484			3	10
749	4607	1411812869	685	1411812869	41.1693992614746	-8.5973482131958	195.399993896484			4	10
750	4607	1411812870	569	1411812870	41.1693992614746	-8.5973482131958	195.399993896484			4	10
751	4607	1411812871	567	1411812871	41.1693992614746	-8.5973482131958	195.399993896484			4	10
752	4607	1411812872	684	1411812872	41.1693992614746	-8.5973482131958	195.399993896484			4	11
753	4607	1411812873	538	1411812873	41.1693992614746	-8.5973482131958	195.399993896484			4	11
754	4607	1411812874	714	1411812874	41.1693992614746	-8.5973482131958	195.399993896484			3	11
755	4607	1411812875	470	1411812875	41.1693992614746	-8.5973482131958	195.399993896484			3	11
756	4607	1411812876	696	1411812876	41.1693992614746	-8.5973482131958	195.399993896484			3	11
757	4607	1411812877	477	1411812877	41.1693992614746	-8.5973482131958	195.399993896484			3	11
758	4607	1411812878	625	1411812878	41.1693992614746	-8.5973482131958	195.399993896484			3	11
759	4607	1411812879	672	1411812879	41.1693992614746	-8.5973482131958	195.399993896484			3	11
760	4607	1411812880	546	1411812880	41.1693992614746	-8.5973482131958	195.399993896484			3	11
761	4607	1411812881	692	1411812881	41.1693992614746	-8.5973482131958	195.399993896484			3	10
762	4607	1411812882	441	1411812882	41.1693992614746	-8.5973482131958	195.399993896484			3	10
763	4607	1411812883	687	1411812883	41.1693992614746	-8.5973482131958	195.5			4	9
764	4607	1411812884	469	1411812884	41.1693992614746	-8.5973482131958	195.5			3	9
765	4607	1411812885	675	1411812885	41.1693992614746	-8.5973482131958	195.5			4	9
766	4607	1411812886	506	1411812886	41.1693992614746	-8.5973482131958	195.5			4	9
767	4607	1411812887	578	1411812887	41.1693992614746	-8.5973482131958	195.5			4	9
768	4607	1411812888	742	1411812888	41.1693992614746	-8.5973482131958	195.5			4	9
769	4607	1411812889	495	1411812889	41.1693992614746	-8.5973482131958	195.5			3	9
770	4607	1411812890	722	1411812890	41.1693992614746	-8.5973482131958	195.5			9	10
771	4607	1411812891	448	1411812891	41.1693992614746	-8.5973482131958	195.5			9	10
772	4607	1411812892	673	1411812892	41.1693992614746	-8.5973482131958	195.5			9	10
773	4607	1411812893	481	1411812893	41.1693992614746	-8.5973482131958	195.5			9	10
774	4607	1411812894	579	1411812894	41.1693992614746	-8.5973482131958	195.5			9	10
775	4607	1411812895	672	1411812895	41.1693992614746	-8.5973482131958	195.5			9	10
776	4607	1411812896	576	1411812896	41.1693992614746	-8.5973482131958	195.5			9	11
777	4607	1411812897	714	1411812897	41.1693992614746	-8.5973482131958	195.5			9	11
778	4607	1411812898	525	1411812898	41.1693992614746	-8.5973482131958	195.5			9	11
779	4607	1411812899	682	1411812899	41.1693992614746	-8.5973482131958	195.5			9	11
