gpstime	latitude	longitude	altitude	speed	heading	hpdop	vdop	pdop
1457869921.00	41.179027150	-8.594118100	134.1	3.807	28.90	1.4	?	?
1457869922.00	41.179060100	-8.594100133	134.3	4.116	15.40	1.4	?	?
1457869923.00	41.179099667	-8.594100567	134.4	4.784	349.90	1.4	?	?
1457869924.00	41.179136217	-8.594127483	134.7	5.144	314.90	1.4	?	?
1457869925.00	41.179157833	-8.594187583	134.7	5.968	287.10	1.4	?	?
1457869926.00	41.179169133	-8.594262900	134.7	6.688	278.70	1.2	?	?
1457869927.00	41.179176133	-8.594349783	134.7	7.614	275.80	1.2	?	?
1457869928.00	41.179181350	-8.594440150	134.7	7.614	275.00	1.2	?	?
1457869929.00	41.179185733	-8.594534833	134.7	7.974	274.30	1.2	?	?
1457869930.00	41.179186483	-8.594633017	134.5	7.768	274.50	1.2	?	?
1457869931.00	41.179187950	-8.594723417	134.5	6.842	274.90	1.3	?	?
1457869932.00	41.179191183	-8.594798333	134.6	5.762	275.10	1.3	?	?
1457869933.00	41.179191900	-8.594871083	134.6	5.762	275.30	1.3	?	?
1457869934.00	41.179191233	-8.594951600	134.9	7.048	274.00	1.3	?	?
1457869935.00	41.179190833	-8.595043550	135.3	7.974	274.40	1.3	?	?
1457869936.00	41.179193583	-8.595147100	135.6	9.157	274.10	1.3	?	?
1457869937.00	41.179198417	-8.595264883	135.8	10.289	274.70	1.3	?	?
1457869938.00	41.179204950	-8.595390567	136.0	10.958	274.10	1.3	?	?
1457869939.00	41.179210917	-8.595522167	136.0	11.318	274.10	1.3	?	?
1457869940.00	41.179216967	-8.595653867	136.1	11.112	274.10	1.3	?	?
1457869941.00	41.179225900	-8.595780767	136.2	10.752	274.10	1.3	?	?
1457869942.00	41.179235133	-8.595903317	136.1	10.237	275.70	1.3	?	?
1457869943.00	41.179245633	-8.596011883	136.1	8.694	276.80	1.3	?	?
1457869944.00	41.179243150	-8.596104633	136.3	7.357	259.30	1.3	?	?
1457869945.00	41.179212283	-8.596180383	136.2	7.511	227.90	1.3	?	?
1457869946.00	41.179153450	-8.596227650	135.9	8.334	200.10	1.3	?	?
1457869947.00	41.179075933	-8.596241050	135.7	9.466	180.40	1.3	?	?
1457869948.00	41.178987400	-8.596234800	135.0	10.598	172.30	1.4	?	?
1457869949.00	41.178893417	-8.596233817	134.3	11.215	175.10	1.8	?	?
1457869950.00	41.178795167	-8.596229950	134.0	11.369	175.70	1.8	?	?
1457869951.00	41.178745083	-8.596266883	134.0	7.048	184.30	1.8	?	?
1457869952.00	41.178695867	-8.596273500	133.9	4.887	185.50	3.2	?	?
1457869953.00	41.178657033	-8.596280167	133.6	3.447	189.20	2.2	?	?
1457869954.00	41.178630067	-8.596289433	133.5	2.418	202.80	2.2	?	?
1457869955.00	41.178608117	-8.596315967	133.4	3.550	234.70	2.2	?	?
1457869956.00	41.178600600	-8.596368967	133.1	5.144	266.80	1.5	?	?
1457869957.00	41.178606600	-8.596444883	132.9	7.099	276.00	1.3	?	?
1457869958.00	41.178614833	-8.596537583	132.6	8.385	275.80	1.3	?	?
1457869959.00	41.178621200	-8.596638233	132.0	8.797	273.30	1.3	?	?
1457869960.00	41.178628183	-8.596745133	131.4	9.363	274.20	1.3	?	?
1457869961.00	41.178636350	-8.596858583	130.8	9.826	274.80	1.3	?	?
1457869962.00	41.178644133	-8.596977183	130.2	10.340	275.50	1.3	?	?
1457869963.00	41.178652100	-8.597097250	129.5	10.340	275.80	1.5	?	?
1457869964.00	41.178659067	-8.597215050	128.6	10.083	275.80	1.5	?	?
1457869965.00	41.178664167	-8.597332933	127.7	9.929	274.70	1.5	?	?
1457869966.00	41.178668400	-8.597435500	127.2	8.848	275.10	1.5	?	?
1457869967.00	41.178677783	-8.597542567	126.6	8.848	274.20	1.5	?	?
1457869968.00	41.178690750	-8.597650500	126.8	8.848	274.60	1.5	?	?
1457869969.00	41.178698333	-8.597758100	126.8	8.746	274.00	1.5	?	?
1457869970.00	41.178704183	-8.597861033	126.7	8.797	273.70	1.3	?	?
1457869971.00	41.178708817	-8.597946233	127.0	7.202	273.00	1.3	?	?
1457869972.00	41.178701567	-8.598021850	127.6	5.916	261.00	1.3	?	?
1457869973.00	41.178672283	-8.598083483	127.4	6.122	235.00	1.3	?	?
1457869974.00	41.178623733	-8.598132633	126.1	6.636	207.90	1.3	?	?
1457869975.00	41.178565100	-8.598159683	125.8	7.511	192.90	1.7	?	?
1457869976.00	41.178513533	-8.598177217	124.3	6.945	195.80	2.2	?	?
1457869977.00	41.178460517	-8.598201150	124.7	7.099	200.70	6.0	?	?
1457869978.00	41.178397550	-8.598232683	124.5	7.614	201.70	2.7	1.0	2.9
1457869979.00	41.178323883	-8.598267083	124.3	8.643	201.00	3.3	8.8	9.4
1457869980.00	41.178244817	-8.598299400	124.0	9.363	199.30	3.3	8.9	9.5
1457869981.00	41.178170383	-8.598339300	124.0	9.414	203.10	3.3	8.9	9.5
1457869982.00	41.178092000	-8.598379950	123.9	9.311	201.80	3.3	8.9	9.5
1457869983.00	41.178017633	-8.598418333	123.8	8.694	201.20	9.9	?	?
1457869984.00	41.177954983	-8.598451333	123.8	6.842	202.40	4.6	?	?
1457869985.00	41.177905850	-8.598477700	123.6	5.042	202.10	4.6	?	?
1457869986.00	41.177858417	-8.598491317	123.5	4.270	200.20	1.6	?	?
1457869987.00	41.177826867	-8.598503317	123.6	2.881	200.60	1.4	?	?
1457869988.00	41.177812583	-8.598510200	123.7	1.132	209.50	1.6	?	?
1457869989.00	41.177804250	-8.598517300	123.9	0.772	248.60	1.4	?	?
1457869990.00	41.177799167	-8.598541883	124.4	2.366	266.10	1.5	?	?
1457869991.00	41.177801433	-8.598581383	124.8	3.858	275.50	1.5	?	?
1457869992.00	41.177816867	-8.598631367	125.3	4.939	290.10	1.5	?	?
1457869993.00	41.177837800	-8.598688150	125.8	5.710	297.50	1.3	?	?
1457869994.00	41.177863050	-8.598759550	126.2	6.791	295.10	1.3	?	?
1457869995.00	41.177888550	-8.598831517	128.0	7.717	291.90	1.3	?	?
1457869996.00	41.177914667	-8.598913517	129.2	7.974	291.50	1.3	?	?
1457869997.00	41.177940383	-8.598995483	130.2	7.665	291.90	1.3	?	?
1457869998.00	41.177964333	-8.599073083	130.8	6.945	292.10	1.3	?	?
1457869999.00	41.177982867	-8.599145667	131.3	6.122	286.20	1.3	?	?
1457870000.00	41.177954950	-8.599212567	120.7	5.710	259.30	4.1	?	?
1457870001.00	41.177925650	-8.599278983	120.2	6.379	232.90	1.3	?	?
1457870002.00	41.177869350	-8.599342933	119.4	8.025	208.70	1.3	?	?
1457870003.00	41.177798050	-8.599388467	118.8	9.209	198.60	1.3	?	?
1457870004.00	41.177720117	-8.599431067	118.4	9.774	199.50	1.3	?	?
1457870005.00	41.177638767	-8.599477400	118.1	9.929	201.80	1.3	?	?
1457870006.00	41.177553450	-8.599524833	118.1	10.443	202.30	1.3	?	?
