,1411812122840,41.1781183,-8.5980907,0.0,73.06700134277344
1320,1411814960000,41.17309601,-8.60558697,175.1999969482422,11.0
1321,1411814962000,41.17315512,-8.60561831,174.5,11.0
1322,1411814964000,41.17320863,-8.60563727,175.1999969482422,12.0
1323,1411814966000,41.17326355,-8.6056555,175.3000030517578,13.0
1324,1411814993000,41.17321586,-8.60567222,181.5,12.0
1325,1411814996000,41.17316614,-8.60566964,183.6999969482422,12.0
1326,1411814999000,41.17310816,-8.60567743,187.8000030517578,11.0
1327,1411815003000,41.17318011,-8.60572472,188.1999969482422,11.0
1328,1411815004000,41.17323426,-8.60574233,187.8999938964844,11.0
1329,1411815005000,41.17329214,-8.60576207,187.3999938964844,11.0
1330,1411815006000,41.17334484,-8.60577991,189.0,11.0
1331,1411815007000,41.17339878,-8.60578503,187.8999938964844,11.0
1332,1411815008000,41.17344674,-8.60576447,187.60000610351565,10.0
1333,1411815009000,41.17348043,-8.60570912,186.0,10.0
1334,1411815010000,41.17349911,-8.60556334,186.0,11.0
1335,1411815011000,41.17351365,-8.60548333,186.1999969482422,11.0
1336,1411815012000,41.17351211,-8.60540102,186.3999938964844,11.0
1337,1411815013000,41.1735189,-8.60531564,186.5,12.0
1338,1411815014000,41.17352489,-8.60523193,186.5,12.0
1339,1411815015000,41.17352125,-8.60510887,186.3999938964844,12.0
1340,1411815016000,41.17356378,-8.60495496,186.1999969482422,13.0
1341,1411815017000,41.17359241,-8.60482913,185.8999938964844,13.0
1342,1411815018000,41.17362697,-8.6046882,185.6999969482422,14.0
1343,1411815019000,41.17365764,-8.60454927,185.6999969482422,14.0
1344,1411815020000,41.17359142,-8.60433092,185.0,13.0
1345,1411815021000,41.17352155,-8.60410477,184.6999969482422,13.0
1346,1411815022000,41.17352551,-8.60392576,184.60000610351565,13.0
1347,1411815023000,41.17353557,-8.60375377,184.6999969482422,13.0
1348,1411815024000,41.1735349,-8.60358476,185.0,13.0
1349,1411815025000,41.1735443,-8.60340938,185.0,14.0
1350,1411815026000,41.17354739,-8.6032425,184.8999938964844,14.0
1351,1411815027000,41.17353996,-8.60309238,184.8999938964844,14.0
1352,1411815028000,41.17354353,-8.60293324,184.8999938964844,15.0
1353,1411815029000,41.17354884,-8.6027538,184.8000030517578,15.0
1354,1411815030000,41.17356278,-8.60262057,184.8000030517578,15.0
1355,1411815031000,41.17356036,-8.60246969,184.8000030517578,14.0
1356,1411815032000,41.17356533,-8.60234274,184.60000610351565,14.0
1357,1411815033000,41.17357272,-8.60217718,184.60000610351565,13.0
1358,1411815034000,41.17359934,-8.60201037,184.3999938964844,13.0
1359,1411815035000,41.17356831,-8.60184609,184.5,12.0
1360,1411815036000,41.17357641,-8.60172164,183.60000610351565,12.0
1361,1411815037000,41.1735918,-8.60156461,183.60000610351565,12.0
1362,1411815038000,41.17360228,-8.60142202,183.6999969482422,12.0
1363,1411815039000,41.17363175,-8.60127658,183.5,12.0
1364,1411815040000,41.17371863,-8.60114715,179.1999969482422,12.0
1365,1411815041000,41.17376725,-8.60098854,180.60000610351565,12.0
1366,1411815042000,41.17384535,-8.60085677,178.89999389648438,12.0
1367,1411815043000,41.17390328,-8.60076415,179.5,11.0
1368,1411815044000,41.17396229,-8.60067194,179.5,11.0
1369,1411815045000,41.17402114,-8.60057688,179.1999969482422,11.0
1370,1411815046000,41.17408155,-8.6004873,178.1999969482422,11.0
1371,1411815047000,41.17412755,-8.60045185,177.3000030517578,10.0
1372,1411815048000,41.17417939,-8.60039647,176.89999389648438,10.0
1373,1411815049000,41.17423548,-8.60032148,176.6999969482422,11.0
1374,1411815050000,41.17428338,-8.60026586,174.89999389648438,11.0
1375,1411815051000,41.17433691,-8.60019112,176.8000030517578,11.0
1376,1411815052000,41.17437748,-8.60011378,178.3000030517578,11.0
1377,1411815053000,41.17441581,-8.60007111,177.8000030517578,11.0
1378,1411815054000,41.17445441,-8.60001464,177.89999389648438,11.0
1379,1411815055000,41.17450688,-8.5999604,178.39999389648438,11.0
1380,1411815056000,41.1745468,-8.59992029,178.3000030517578,11.0
1381,1411815057000,41.17462097,-8.59989111,177.60000610351565,11.0
1382,1411815058000,41.17470045,-8.59987085,177.89999389648438,11.0
1383,1411815059000,41.17476832,-8.59988166,176.6999969482422,11.0
1384,1411815060000,41.17482802,-8.59989893,177.1999969482422,11.0
1385,1411815061000,41.17490355,-8.59992306,177.6999969482422,11.0
1386,1411815062000,41.17499185,-8.59996795,178.60000610351565,11.0
1387,1411815063000,41.17508804,-8.60001724,178.0,11.0
1388,1411815064000,41.17517867,-8.60006588,178.6999969482422,11.0
1389,1411815065000,41.17525838,-8.60009319,178.6999969482422,11.0
1390,1411815066000,41.17533808,-8.60013303,178.60000610351565,12.0
1391,1411815067000,41.1754567,-8.60015897,179.0,11.0
1392,1411815068000,41.17557026,-8.60018382,179.1999969482422,11.0
1393,1411815069000,41.17571096,-8.60016708,178.60000610351565,10.0
1394,1411815070000,41.17583622,-8.60016291,178.0,10.0
1395,1411815071000,41.1759485,-8.60014786,177.6999969482422,10.0
