n	Session	gps.seconds.Unix	gps.millis	gps.gpstime	gps.lat	gps.lon	gps.alt	gps.track	gps.speed.M-S	gps.epx	gps.nsats
2533	4604	1411814705	661	1411814708	41.1528625488281	-8.61000633239746	149.199996948242	356.9	6.25	9	9
2534	4604	1411814706	559	1411814709	41.1529159545898	-8.61001300811768	149.399993896484	356.9	6	10	9
2535	4604	1411814707	592	1411814710	41.1529655456543	-8.61002159118652	149.399993896484	356.8	6	10	9
2536	4604	1411814708	693	1411814711	41.1530227661133	-8.61001110076904	149.899993896484	2.4	6.25	10	9
2537	4604	1411814709	551	1411814712	41.153076171875	-8.61000537872314	150.199996948242	2.6	5.75	10	9
2538	4604	1411814710	616	1411814713	41.1531219482422	-8.61001300811768	151.800003051758	356.1	5.5	9	9
2539	4604	1411814711	600	1411814714	41.1531639099121	-8.61001205444336	152.600006103516	359.7	5	9	9
2540	4604	1411814712	595	1411814715	41.153205871582	-8.61000823974609	152.899993896484	2.2	4.75	10	9
2541	4604	1411814713	595	1411814716	41.1532363891602	-8.61000919342041	153	0.7	4	9	8
2542	4604	1411814714	594	1411814717	41.1532859802246	-8.61001110076904	153.399993896484	358.4	4.5	10	8
2543	4604	1411814715	596	1411814718	41.1533279418945	-8.61000728607178	153.600006103516	6.3	4.75	10	9
2544	4604	1411814716	693	1411814719	41.1533660888672	-8.61000442504883	153.5	7.7	4.5	10	9
2545	4604	1411814717	852	1411814720	41.1534080505371	-8.61001014709473	153.899993896484	6.6	4.5	11	9
2546	4604	1411814718	802	1411814721	41.1534309387207	-8.61000823974609	154.300003051758	3	3.5	11	9
2547	4604	1411814719	728	1411814722	41.153434753418	-8.6100025177002	154.5	10.9	2.25	10	9
2548	4604	1411814720	667	1411814723	41.1534538269043	-8.6099910736084	155.600006103516	10.1	2	11	9
2549	4604	1411814721	655	1411814724	41.1534729003906	-8.60998630523682	156.800003051758	359.8	2	11	9
2550	4604	1411814722	587	1411814725	41.1534843444824	-8.60998153686523	158	358.3	1.5	11	9
2551	4604	1411814723	620	1411814726	41.1534996032715	-8.60999011993408	158.800003051758	352.9	1.25	11	9
2552	4604	1411814724	621	1411814727	41.1535034179688	-8.6099910736084	158.899993896484	355.2	1	11	9
2553	4604	1411814725	596	1411814728	41.1534996032715	-8.6099910736084	158.600006103516	355.2	0.25	12	9
2554	4604	1411814726	769	1411814729	41.153491973877	-8.61000156402588	157.199996948242			11	8
2555	4604	1411814727	700	1411814730	41.1534843444824	-8.61001110076904	156.800003051758			11	8
2556	4604	1411814728	672	1411814731	41.1534843444824	-8.61001586914062	157.699996948242			11	8
2557	4604	1411814729	688	1411814732	41.1534881591797	-8.61001777648926	158.300003051758			12	8
2558	4604	1411814730	627	1411814733	41.1534881591797	-8.61001777648926	158.199996948242	355.2	0.25	12	9
2559	4604	1411814731	605	1411814734	41.153491973877	-8.61001873016357	158.5	355.2	0.25	12	8
2560	4604	1411814732	689	1411814735	41.1534996032715	-8.61002159118652	158.5	355.2	0.5	13	8
2561	4604	1411814733	796	1411814736	41.1535034179688	-8.61002159118652	158.899993896484	355.2	0.5	12	8
2562	4604	1411814734	780	1411814737	41.1535148620605	-8.61001300811768	159.600006103516	355.2	0.5	9	9
2563	4604	1411814735	802	1411814738	41.1535377502441	-8.60999870300293	158.300003051758	29.3	1	8	9
2564	4604	1411814736	689	1411814739	41.1535720825195	-8.60998725891113	158.600006103516	15.9	1.5	10	9
2565	4604	1411814737	651	1411814740	41.1536407470703	-8.60997200012207	158.5	8.5	4.75	12	8
2566	4604	1411814738	597	1411814741	41.1538047790527	-8.6099328994751	158	8.7	6.25	14	8
2567	4604	1411814739	592	1411814742	41.1538887023926	-8.6099157333374	157.899993896484	10	7.25	16	8
2568	4604	1411814740	630	1411814743	41.1539840698242	-8.60986804962158	155.5	15.5	7.5	13	7
2569	4604	1411814741	605	1411814744	41.1540451049805	-8.60975742340088	155.600006103516	32.4	8.5	12	7
2570	4604	1411814742	617	1411814745	41.1540985107422	-8.60970306396484	156	34.2	8.5	13	8
2571	4604	1411814743	790	1411814746	41.1541481018066	-8.60962390899658	156.800003051758	39.8	9	15	7
2572	4604	1411814744	747	1411814747	41.154239654541	-8.60958480834961	159.800003051758	35.4	9.25	17	7
2573	4604	1411814745	595	1411814748	41.1543655395508	-8.60952568054199	161.399993896484	28.5	10.25	18	7
2574	4604	1411814746	664	1411814749	41.154426574707	-8.60947322845459	162.399993896484	36.3	8.25	17	7
2575	4604	1411814747	645	1411814750	41.1544723510742	-8.60941600799561	163.899993896484	31.9	8.5	16	7
2576	4604	1411814748	624	1411814751	41.154541015625	-8.60937118530273	163.699996948242	30.6	8.5	16	7
2577	4604	1411814749	600	1411814752	41.154598236084	-8.60933303833008	163.5	28	7.75	16	7
2578	4604	1411814750	609	1411814753	41.1546630859375	-8.60929107666016	164.100006103516	25.9	7.5	16	7
2579	4604	1411814751	625	1411814754	41.1547622680664	-8.60932540893555	164.800003051758	0.3	8.25	12	7
2580	4604	1411814752	604	1411814755	41.1548042297363	-8.60930919647217	165.100006103516	358.1	8.25	9	8
2581	4604	1411814753	746	1411814756	41.1549072265625	-8.60932064056396	164.800003051758	359.1	8.25	8	8
2582	4604	1411814754	640	1411814757	41.154972076416	-8.60931968688965	165.699996948242	355.8	7.25	7	8
2583	4604	1411814755	712	1411814758	41.1550407409668	-8.60930728912354	166.300003051758	359.3	7	7	7
2584	4604	1411814756	600	1411814759	41.155101776123	-8.60931015014648	167.5	358.6	7	7	7
2585	4604	1411814757	620	1411814760	41.1551704406738	-8.60929775238037	168	0.3	7	7	7
2586	4604	1411814758	631	1411814761	41.1552352905273	-8.60928153991699	168.800003051758	2	7	7	7
2587	4604	1411814759	615	1411814762	41.1553039550781	-8.60927486419678	169.100006103516	4.5	7.25	8	7
2588	4604	1411814760	627	1411814763	41.1553688049316	-8.60926818847656	169.199996948242	4.5	7.25	12	7
2589	4604	1411814761	747	1411814764	41.1554756164551	-8.60926723480225	168.600006103516	356.1	9.25	5	8
2590	4604	1411814762	726	1411814765	41.1555557250977	-8.60927867889404	169	351.9	9	6	7
2591	4604	1411814763	689	1411814766	41.1556587219238	-8.60924243927002	169.600006103516	0.8	9.5	5	8
2592	4604	1411814764	642	1411814767	41.1557312011719	-8.6092472076416	170.199996948242	358.7	9.5	4	9
2593	4604	1411814765	602	1411814768	41.1558113098145	-8.60925483703613	170.600006103516	356.9	9.5	4	9
2594	4604	1411814766	607	1411814769	41.1559066772461	-8.60926342010498	171.899993896484	359.5	9.75	4	9
2595	4604	1411814767	590	1411814770	41.1559867858887	-8.60925769805908	172.699996948242	0.4	9.5	4	9
2596	4604	1411814768	567	1411814771	41.156063079834	-8.60924816131592	173.600006103516	1.7	9.5	4	9
2597	4604	1411814769	557	1411814772	41.1561470031738	-8.60924243927002	173.899993896484	1.6	9.25	4	9
2598	4604	1411814770	655	1411814773	41.1562232971191	-8.60924816131592	173.800003051758	357.5	9	4	9
2599	4604	1411814771	556	1411814774	41.1562995910645	-8.60924434661865	173.699996948242	0.8	9.25	4	9
2600	4604	1411814772	556	1411814775	41.1563835144043	-8.60925102233887	174.800003051758	1.7	9	4	9
2601	4604	1411814773	610	1411814776	41.1564598083496	-8.6092529296875	175.5	2.2	8.75	4	9
2602	4604	1411814774	575	1411814777	41.1565361022949	-8.60925197601318	176.199996948242	0.6	8.25	4	9
2603	4604	1411814775	620	1411814778	41.1566123962402	-8.60924053192139	176.100006103516	3.8	8.25	4	9
2604	4604	1411814776	750	1411814779	41.1566925048828	-8.6092472076416	176.899993896484	1.9	8	4	9
2605	4604	1411814777	740	1411814780	41.1567573547363	-8.60925960540771	177	358.6	8	4	8
2606	4604	1411814778	748	1411814781	41.1568260192871	-8.60926055908203	177	359.7	7.5	4	8
2607	4604	1411814779	595	1411814782	41.1568984985352	-8.60926818847656	177.5	358.4	7.5	4	8
2608	4604	1411814780	606	1411814783	41.1569595336914	-8.60926818847656	177.600006103516	0.7	6.75	4	8
2609	4604	1411814781	605	1411814784	41.1570167541504	-8.60926342010498	178.199996948242	6.8	6.25	4	8
2610	4604	1411814782	604	1411814785	41.157054901123	-8.60926723480225	178.199996948242	1.5	5.25	4	8
2611	4604	1411814783	612	1411814786	41.1570854187012	-8.6092643737793	177.899993896484	1.7	4.5	4	8
2612	4604	1411814784	605	1411814787	41.1571388244629	-8.6092643737793	178.199996948242	2.3	5	4	8
2613	4604	1411814785	604	1411814788	41.1571769714355	-8.60926342010498	178.399993896484	4.2	5.25	4	8
2614	4604	1411814786	603	1411814789	41.1572227478027	-8.60926723480225	178.699996948242	4.1	5.5	5	9
2615	4604	1411814787	700	1411814790	41.157283782959	-8.60923957824707	178.899993896484	10.5	6.5	4	9
2616	4604	1411814788	694	1411814791	41.1573524475098	-8.60921192169189	179	14.4	7.25	4	9
2617	4604	1411814789	647	1411814792	41.1574363708496	-8.60918617248535	179	14.9	8	4	10
2618	4604	1411814790	619	1411814793	41.1575164794922	-8.60917186737061	179.199996948242	12.4	8.25	5	10
2619	4604	1411814791	641	1411814794	41.1575927734375	-8.60915470123291	179.199996948242	11.1	8.25	5	10
2620	4604	1411814792	647	1411814795	41.1576881408691	-8.60905170440674	179.100006103516	29.9	9.75	4	10
2621	4604	1411814793	804	1411814796	41.1577682495117	-8.60902214050293	179.5	25.2	10.25	5	10
2622	4604	1411814794	597	1411814797	41.1578636169434	-8.60897445678711	179.899993896484	22.4	10.5	5	9
2623	4604	1411814795	713	1411814798	41.1579551696777	-8.60893249511719	180	20.9	10.75	6	9
2624	4604	1411814796	628	1411814799	41.1580581665039	-8.60888004302979	179.600006103516	20.9	11	11	10
2625	4604	1411814797	944	1411814800	41.1581268310547	-8.60884094238281	180	21.7	10	10	10
2626	4604	1411814798	607	1411814801	41.1582221984863	-8.608811378479	180.699996948242	19.2	10.25	11	10
2627	4604	1411814799	599	1411814802	41.1583137512207	-8.60874843597412	181.600006103516	19.8	10.25	12	10
2628	4604	1411814800	676	1411814803	41.1584014892578	-8.60870552062988	181.600006103516	19.6	10.25	13	10
2629	4604	1411814801	755	1411814804	41.1585006713867	-8.60866928100586	182.5	17.5	10.5	11	10
2630	4604	1411814802	743	1411814805	41.1585998535156	-8.6086368560791	183.100006103516	14.7	10.75	12	9
2631	4604	1411814803	695	1411814806	41.1587181091309	-8.60863971710205	183.399993896484	13	11	11	9
2632	4604	1411814804	696	1411814807	41.158805847168	-8.6086254119873	184.300003051758	19.3	10	11	10
2633	4604	1411814805	577	1411814808	41.1588859558105	-8.60857582092285	184.800003051758	21.1	8.75	11	10
2634	4604	1411814806	602	1411814809	41.1589546203613	-8.60854148864746	185.699996948242	21.6	8.75	12	9
2635	4604	1411814807	606	1411814810	41.1589965820312	-8.60845375061035	184	16	8.5	12	9
2636	4604	1411814808	687	1411814811	41.1590614318848	-8.60843086242676	183.399993896484	17	8	11	8
2637	4604	1411814809	804	1411814812	41.1591377258301	-8.60839653015137	182.5	20.2	7.75	11	8
2638	4604	1411814810	620	1411814813	41.1592140197754	-8.60835075378418	183.600006103516	22.3	8.25	12	8
2639	4604	1411814811	649	1411814814	41.1593055725098	-8.60830783843994	185	20.5	8.75	11	8
2640	4604	1411814812	690	1411814815	41.1593818664551	-8.60826015472412	186	22.6	9.25	10	8
2641	4604	1411814813	605	1411814816	41.1594543457031	-8.60821533203125	186	23.5	9.5	11	8
2642	4604	1411814814	614	1411814817	41.1595420837402	-8.60815620422363	186.600006103516	25.6	10.25	11	10
2643	4604	1411814815	683	1411814818	41.1596298217773	-8.6080904006958	186.899993896484	27.7	10.75	11	9
2644	4604	1411814816	668	1411814819	41.1597518920898	-8.60804080963135	187.300003051758	23.9	12	11	9
2645	4604	1411814817	626	1411814820	41.159854888916	-8.60798931121826	187.300003051758	23.6	12	11	9
2646	4604	1411814818	716	1411814821	41.1599960327148	-8.60800552368164	190.100006103516	17.4	12.5	12	10
2647	4604	1411814819	646	1411814822	41.1601181030273	-8.60797023773193	190.399993896484	16.4	12.5	13	10
2648	4604	1411814820	656	1411814823	41.1602401733398	-8.60795211791992	190.100006103516	14.2	12.5	14	9
2649	4604	1411814821	604	1411814824	41.1603584289551	-8.60790157318115	190.300003051758	16.2	12.75	15	8
2650	4604	1411814822	607	1411814825	41.1604919433594	-8.60785293579102	191.600006103516	18.4	13	13	9
2651	4604	1411814823	608	1411814826	41.1605796813965	-8.60778331756592	190.699996948242	20.1	12	13	8
2652	4604	1411814824	750	1411814827	41.160701751709	-8.60771751403809	189.899993896484	21.5	12.5	13	8
2653	4604	1411814825	626	1411814828	41.1608352661133	-8.60766410827637	190.800003051758	21.1	12.75	13	9
2654	4604	1411814826	693	1411814829	41.1609230041504	-8.6076021194458	191.199996948242	21.9	12.75	13	9
2655	4604	1411814827	637	1411814830	41.1610260009766	-8.60754489898682	191	22.3	12.5	14	9
2656	4604	1411814828	612	1411814831	41.1611289978027	-8.60748958587646	191	22	12.5	14	9
2657	4604	1411814843	684	1411814846	41.1628227233887	-8.60694980621338	193.399993896484	8.4	12.5	17	7
2658	4604	1411814844	662	1411814847	41.1629524230957	-8.60683536529541	194.5	10.6	12.5	15	7
2659	4604	1411814845	595	1411814848	41.1630706787109	-8.60677528381348	195.399993896484	7.5	12	11	7
2660	4604	1411814846	645	1411814849	41.1631813049316	-8.60673713684082	196	8.1	12	11	7
2661	4604	1411814847	605	1411814850	41.1632881164551	-8.6067066192627	196.399993896484	9.8	12.25	10	7
2662	4604	1411814848	605	1411814851	41.163402557373	-8.60665035247803	197.100006103516	11.2	12	9	7
2663	4604	1411814849	623	1411814852	41.1635131835938	-8.60660362243652	198.300003051758	9.6	11.75	9	7
2664	4604	1411814850	657	1411814853	41.1636085510254	-8.60660171508789	198	4.6	11.5	9	7
2665	4604	1411814851	627	1411814854	41.1637191772461	-8.6065673828125	197.5	6.3	11.5	8	7
2666	4604	1411814852	623	1411814855	41.1638221740723	-8.60653018951416	197.199996948242	6.8	10.25	10	7
2667	4604	1411814853	597	1411814856	41.163932800293	-8.60646724700928	196.699996948242	8.8	10	11	7
2668	4604	1411814854	625	1411814857	41.1640014648438	-8.60641956329346	194.699996948242	12.6	8.75	12	8
2669	4604	1411814855	595	1411814858	41.1640701293945	-8.60636043548584	194.5	15.9	8.25	12	7
2670	4604	1411814856	766	1411814859	41.1641273498535	-8.60632228851318	194.600006103516	19.4	7.5	12	8
2671	4604	1411814857	745	1411814860	41.1641960144043	-8.6062650680542	195	23.2	7.75	12	9
2672	4604	1411814858	756	1411814861	41.1642074584961	-8.60625076293945	195.800003051758	26.3	5.5	11	9
2673	4604	1411814859	719	1411814862	41.1641654968262	-8.60632038116455	196.600006103516	11.2	1.25	8	9
2674	4604	1411814860	666	1411814863	41.1641693115234	-8.60632133483887	198.399993896484	18.9	1.25	9	9
2675	4604	1411814861	563	1411814864	41.1641693115234	-8.60632610321045	198.600006103516	47.3	1.25	10	10
2676	4604	1411814862	617	1411814865	41.1641807556152	-8.60632133483887	199	48	1.5	13	10
2677	4604	1411814863	656	1411814866	41.1641731262207	-8.60630130767822	199.600006103516	79.1	2.25	15	10
2678	4604	1411814864	809	1411814867	41.1642074584961	-8.6062650680542	199.699996948242	56.7	3	12	10
2679	4604	1411814865	792	1411814868	41.1642761230469	-8.60622978210449	199.399993896484	34.8	4.5	11	10
2680	4604	1411814866	770	1411814869	41.1643371582031	-8.6061897277832	199.699996948242	30.7	5.5	10	8
2681	4604	1411814867	629	1411814870	41.1644172668457	-8.60619068145752	199.899993896484	19.4	6	10	9
2682	4604	1411814868	605	1411814871	41.1645965576172	-8.60621166229248	195.899993896484	1.3	8.5	9	9
2683	4604	1411814869	585	1411814872	41.1647109985352	-8.60621166229248	195.100006103516	2	9.5	8	9
2684	4604	1411814870	622	1411814873	41.1647758483887	-8.60622024536133	195.600006103516	1.5	9.25	8	9
2685	4604	1411814871	644	1411814874	41.1648635864258	-8.6062183380127	195.600006103516	1.4	9.25	9	8
2686	4604	1411814872	630	1411814875	41.1650238037109	-8.60624122619629	193.5	358.5	10.75	9	8
2687	4604	1411814873	786	1411814876	41.1651229858398	-8.60627460479736	193.600006103516	355.5	11.25	7	8
2688	4604	1411814874	646	1411814877	41.1652221679688	-8.60628986358643	193.899993896484	355.5	11.5	5	9
2689	4604	1411814875	705	1411814878	41.165340423584	-8.60629940032959	194.100006103516	356.5	12.5	5	9
2690	4604	1411814876	698	1411814879	41.1654663085938	-8.60632133483887	193.899993896484	356.3	13.25	5	9
2691	4604	1411814877	659	1411814880	41.165599822998	-8.60632801055908	194.399993896484	356.3	13.75	5	10
2692	4604	1411814878	626	1411814881	41.1657333374023	-8.60635089874268	194.800003051758	355.7	14	5	11
2693	4604	1411814879	643	1411814882	41.1658554077148	-8.60636901855469	194.399993896484	355.7	13.75	5	10
