gpstime	latitude	longitude	altitude	speed	heading	hpdop	vdop	pdop
1518257326.00	41.239064050	-8.541629417	144.1	0.051	340.40	1.5	2.4	2.8
1518257327.00	41.239063967	-8.541629350	144.1	0.051	345.40	1.5	2.4	2.8
1518257328.00	41.239064083	-8.541629367	144.1	0.051	336.70	1.5	2.4	2.8
1518257329.00	41.239064150	-8.541629350	144.0	0.051	346.30	1.5	2.4	2.8
1518257330.00	41.239064317	-8.541629450	143.9	0.051	340.30	1.5	2.4	2.8
1518257331.00	41.239064333	-8.541629467	143.9	0.051	349.70	1.5	2.4	2.8
1518257332.00	41.239064250	-8.541629883	143.9	0.051	334.00	1.5	2.4	2.8
1518257333.00	41.239064233	-8.541630100	143.8	0.051	342.10	1.5	2.4	2.8
1518257334.00	41.239064217	-8.541630133	143.8	0.000	344.40	1.5	2.4	2.8
1518257335.00	41.239064217	-8.541630083	143.8	0.000	350.30	1.5	2.4	2.8
1518257336.00	41.239064333	-8.541630050	143.7	0.051	333.80	1.5	2.4	2.8
1518257337.00	41.239064450	-8.541630083	143.7	0.051	347.30	1.5	2.4	2.8
1518257338.00	41.239064583	-8.541630100	143.7	0.051	340.30	1.5	2.4	2.8
1518257339.00	41.239064750	-8.541630083	143.6	0.051	337.20	1.5	2.4	2.8
1518257340.00	41.239064933	-8.541630017	143.5	0.051	346.50	1.5	2.4	2.8
1518257341.00	41.239065117	-8.541629967	143.4	0.051	346.20	1.5	2.4	2.8
1518257342.00	41.239065200	-8.541629917	143.4	0.051	359.00	1.5	2.4	2.8
1518257343.00	41.239065333	-8.541630050	143.3	0.051	340.70	1.5	2.4	2.8
1518257344.00	41.239065383	-8.541630067	143.3	0.051	338.80	1.5	2.4	2.8
1518257345.00	41.239065417	-8.541630000	143.3	0.051	345.50	1.5	2.4	2.8
1518257346.00	41.239065383	-8.541629933	143.3	0.000	349.10	1.5	2.4	2.8
1518257347.00	41.239065383	-8.541630017	143.2	0.000	347.10	1.5	2.4	2.8
1518257348.00	41.239065517	-8.541630083	143.2	0.051	334.90	1.5	2.4	2.8
1518257349.00	41.239065700	-8.541630067	143.1	0.051	330.40	1.5	2.4	2.8
1518257350.00	41.239065900	-8.541630167	143.0	0.051	332.60	1.5	2.4	2.8
1518257351.00	41.239065933	-8.541630167	143.0	0.051	326.00	1.5	2.4	2.8
1518257352.00	41.239066017	-8.541630200	142.9	0.051	335.60	1.5	2.4	2.8
1518257353.00	41.239066100	-8.541630200	142.9	0.051	332.60	1.5	2.4	2.8
1518257354.00	41.239066267	-8.541630167	142.8	0.051	338.70	1.5	2.4	2.8
1518257355.00	41.239066283	-8.541630167	142.8	0.000	5.30	1.5	2.4	2.8
1518257356.00	41.239066633	-8.541630017	142.6	0.051	335.20	1.5	2.4	2.8
1518257357.00	41.239066883	-8.541629883	142.5	0.051	332.90	1.5	2.4	2.8
1518257358.00	41.239066900	-8.541629933	142.4	0.051	321.90	1.5	2.4	2.8
1518257359.00	41.239066867	-8.541629950	142.4	0.000	350.50	1.5	2.4	2.8
1518257360.00	41.239066850	-8.541630017	142.4	0.051	319.20	1.5	2.4	2.8
1518257361.00	41.239066833	-8.541630067	142.4	0.051	342.90	1.5	2.4	2.8
1518257362.00	41.239066733	-8.541630100	142.4	0.051	331.80	1.5	2.4	2.8
1518257363.00	41.239066783	-8.541630300	142.4	0.051	338.00	1.5	2.4	2.8
1518257364.00	41.239066717	-8.541630383	142.4	0.000	324.70	1.5	2.4	2.8
1518257365.00	41.239066600	-8.541630350	142.4	0.000	341.20	1.5	2.4	2.8
1518257366.00	41.239066550	-8.541630450	142.4	0.051	332.80	1.5	2.4	2.8
1518257367.00	41.239066467	-8.541630450	142.4	0.051	333.60	1.5	2.4	2.8
1518257368.00	41.239066400	-8.541630500	142.5	0.051	332.70	1.5	2.4	2.8
1518257369.00	41.239066283	-8.541630583	142.5	0.051	326.40	1.5	2.4	2.8
1518257370.00	41.239066117	-8.541630567	142.6	0.051	345.90	1.5	2.4	2.8
1518257371.00	41.239065867	-8.541630583	142.6	0.051	314.40	1.5	2.4	2.8
1518257372.00	41.239065517	-8.541630883	142.7	0.000	339.40	1.5	2.4	2.8
1518257373.00	41.239065217	-8.541631017	142.8	0.000	74.00	1.5	2.4	2.8
1518257374.00	41.239065133	-8.541631183	142.8	0.051	319.70	1.5	2.4	2.8
1518257375.00	41.239065133	-8.541631450	142.9	0.051	338.60	1.5	2.4	2.8
1518257376.00	41.239064950	-8.541631483	142.9	0.051	125.50	1.5	2.4	2.8
1518257377.00	41.239064783	-8.541631550	143.0	0.051	326.40	1.5	2.4	2.8
1518257378.00	41.239064467	-8.541631350	143.1	0.051	314.80	1.5	2.4	2.8
1518257379.00	41.239064317	-8.541631433	143.1	0.051	328.00	1.5	2.4	2.8
1518257380.00	41.239063983	-8.541631300	143.2	0.000	24.90	1.5	2.4	2.8
1518257381.00	41.239063900	-8.541631367	143.2	0.103	327.10	1.5	2.4	2.8
1518257382.00	41.239063717	-8.541631383	143.2	0.000	358.00	1.5	2.4	2.8
1518257383.00	41.239063417	-8.541631117	143.3	0.051	330.60	1.5	2.4	2.8
1518257384.00	41.239063183	-8.541630983	143.3	0.000	343.70	1.5	2.4	2.8
1518257385.00	41.239068017	-8.541629050	144.5	0.103	327.00	1.6	?	?
1518257386.00	41.239069183	-8.541630517	144.9	0.103	330.80	1.6	?	?
1518257387.00	41.239060600	-8.541633300	144.6	0.051	135.40	2.2	4.1	4.6
1518257388.00	41.239056150	-8.541631467	144.8	0.000	8.50	2.2	4.1	4.6
1518257389.00	41.239054267	-8.541630983	145.3	0.051	139.90	2.2	4.1	4.6
1518257390.00	41.239052550	-8.541630817	145.8	0.000	158.60	2.2	4.1	4.6
1518257391.00	41.239051183	-8.541630133	146.3	0.000	254.80	1.5	2.4	2.8
1518257392.00	41.239050450	-8.541629383	146.6	0.000	103.70	1.5	2.4	2.8
1518257393.00	41.239049700	-8.541628683	146.9	0.000	171.70	1.5	2.4	2.8
1518257394.00	41.239049483	-8.541628350	147.0	0.051	323.30	1.5	2.4	2.8
1518257395.00	41.239049383	-8.541628117	147.2	0.000	3.20	1.5	2.4	2.8
