n	Session	gps.seconds.Unix	gps.millis	gps.gpstime	gps.lat	gps.lon	gps.alt	gps.track	gps.speed.M-S	gps.acc	gps.nsats
106	14634	1478956978	567	1478956984	41.22981719	-8.54857275	174	226	11.25	4	10
107	14634	1478956979	604	1478956985	41.22973414	-8.54866746	174	224.7	11.25	5	10
108	14634	1478956980	535	1478956986	41.22966507	-8.54874886	173.9	223.5	10.75	5	9
109	14634	1478956981	553	1478956987	41.22959692	-8.54882147	174	220.9	9.5	5	10
110	14634	1478956982	541	1478956988	41.22953774	-8.54884389	172.2	202.3	8	3	10
111	14634	1478956983	548	1478956989	41.22945716	-8.54882571	171.3	174.5	8.25	4	9
112	14634	1478956984	544	1478956990	41.22937893	-8.54877235	169.5	150	9.5	4	10
113	14634	1478956985	560	1478956991	41.22930955	-8.54869341	168.2	141.3	11.5	4	10
114	14634	1478956986	544	1478956992	41.22922007	-8.54859318	169	140.8	13.25	4	10
115	14634	1478956987	553	1478956993	41.22912412	-8.54848654	167.9	140.8	14.25	4	10
116	14634	1478956988	538	1478956994	41.22901251	-8.54837246	166.4	142.2	15	4	10
117	14634	1478956989	553	1478956995	41.22889866	-8.54827161	165.6	145.3	15.5	4	9
118	14634	1478956990	553	1478956996	41.22877968	-8.54818902	164.5	151.9	15.25	4	9
119	14634	1478956991	566	1478956997	41.22864708	-8.54814422	165.9	162.4	15.5	4	8
120	14634	1478956992	568	1478956998	41.22850426	-8.54813302	164	174.7	15.75	4	9
121	14634	1478956993	570	1478956999	41.22836255	-8.54811569	163.1	174.7	15.75	5	9
122	14634	1478956994	560	1478957000	41.22820011	-8.54818986	160.5	191.7	17.5	4	9
123	14634	1478956996	79	1478957001	41.2280317	-8.54824129	160.7	192.9	18.5	4	9
124	14634	1478956997	607	1478957003	41.22769393	-8.54835416	160.1	194	19	4	9
125	14634	1478956998	709	1478957004	41.22752205	-8.54840651	159.3	193.4	19.25	4	9
126	14634	1478957001	111	1478957006	41.22718264	-8.54851887	159.7	194	19.75	4	8
127	14634	1478957003	96	1478957008	41.22683658	-8.54862958	158.7	194.3	20.25	3	9
128	14634	1478957004	647	1478957010	41.22647539	-8.54875779	158	193.5	20.75	4	9
129	14634	1478957006	548	1478957012	41.22613563	-8.54886972	157.6	193.4	19.5	4	9
130	14634	1478957008	68	1478957013	41.22597411	-8.54891757	156.8	193.7	18.25	4	9
131	14634	1478957010	69	1478957015	41.22566949	-8.5490127	156.8	192.6	17	4	9
132	14634	1478957012	98	1478957017	41.22540609	-8.54899412	156.9	172.9	14.75	4	8
133	14634	1478957013	623	1478957019	41.2251864	-8.54885895	156.6	154.6	13.75	9	8
134	14634	1478957014	738	1478957020	41.22507798	-8.54879315	155.7	155.5	13.5	9	9
135	14634	1478957017	75	1478957022	41.22484909	-8.54867425	154.8	158.2	13.5	10	9
136	14634	1478957019	111	1478957024	41.22462436	-8.54855635	155.1	156.9	13.5	9	9
137	14634	1478957020	656	1478957026	41.22439948	-8.54840962	152.5	155.8	13.75	9	9
138	14634	1478957021	676	1478957027	41.2242812	-8.54835315	151.2	158.3	14.25	9	9
139	14634	1478957022	627	1478957028	41.22416001	-8.54830087	150.9	159.4	14.25	10	9
140	14634	1478957023	710	1478957029	41.22404392	-8.54824375	150.9	159.7	13.75	10	9
141	14634	1478957026	75	1478957031	41.22384949	-8.54813921	150.3	158.2	11	9	9
142	14634	1478957028	96	1478957033	41.22370161	-8.54804398	149.6	157.5	8.25	10	8
143	14634	1478957029	620	1478957035	41.22364245	-8.5480096	148.9	157	2	9	9
144	14634	1478957030	708	1478957036	41.22363068	-8.54800291	148.2	158.8	1.5	9	9
145	14634	1478957032	564	1478957038	41.22356618	-8.54797274	148.2	159	4.75	9	9
146	14634	1478957033	549	1478957039	41.22352193	-8.54793599	146.8	158.1	5.75	9	9
147	14634	1478957034	540	1478957040	41.22345666	-8.54790013	146.2	159.2	7.5	9	9
148	14634	1478957035	540	1478957041	41.22338493	-8.54786427	146.4	157.6	8.75	9	9
149	14634	1478957036	547	1478957042	41.22331235	-8.54782918	147.1	159.3	8.75	9	9
150	14634	1478957037	540	1478957043	41.22323264	-8.54778591	146.6	159.2	9.25	9	9
151	14634	1478957038	549	1478957044	41.22315356	-8.54773852	145.8	159.5	9.5	9	9
152	14634	1478957039	540	1478957045	41.22306912	-8.54769202	144.6	158.2	10	9	9
153	14634	1478957040	540	1478957046	41.22298243	-8.54764935	144.6	157.9	10.5	9	9
154	14634	1478957041	549	1478957047	41.22288341	-8.5476031	143.8	158.7	11.5	9	9
155	14634	1478957042	541	1478957048	41.22278276	-8.54755084	143.4	158.3	12	9	9
156	14634	1478957043	560	1478957049	41.22267536	-8.54749211	142.8	158.6	12.75	9	9
157	14634	1478957044	566	1478957050	41.22256301	-8.54742986	151.7	158.2	13.5	9	9
158	14634	1478957045	545	1478957051	41.22244528	-8.5473649	148.3	157.5	14	9	9
159	14634	1478957047	75	1478957052	41.22232077	-8.54730015	146.1	158.3	14.25	9	9
160	14634	1478957048	646	1478957054	41.22208633	-8.54717611	143.2	158.3	14	9	9
161	14634	1478957049	713	1478957055	41.22196935	-8.54711769	142.8	158.7	14	9	10
162	14634	1478957052	109	1478957057	41.22174162	-8.54700292	143.3	158.5	13.25	10	10
163	14634	1478957054	69	1478957059	41.22150434	-8.54689376	142.9	160.3	13.75	11	10
164	14634	1478957056	135	1478957061	41.22127907	-8.5467795	143.4	159.1	13.5	10	10
165	14634	1478957057	561	1478957063	41.22104799	-8.54668649	144.3	159.6	12.5	9	10
166	14634	1478957058	558	1478957064	41.22095823	-8.54664355	144	158.8	11.75	9	10
167	14634	1478957059	545	1478957065	41.22085281	-8.54658894	144	158.9	11	9	10
168	14634	1478957061	111	1478957066	41.22076285	-8.54654052	144.5	160.1	10.25	9	10
169	14634	1478957063	92	1478957068	41.2205968	-8.54648146	144.5	164.1	10	9	10
170	14634	1478957064	647	1478957070	41.22041405	-8.54640578	146.2	163.3	11	9	10
171	14634	1478957065	737	1478957071	41.22031642	-8.54636361	145	161	11.5	9	10
172	14634	1478957067	540	1478957073	41.22010318	-8.54624289	145.4	156.9	12.75	10	10
173	14634	1478957068	555	1478957074	41.21999911	-8.54618554	145.6	157.6	12.75	11	10
174	14634	1478957069	578	1478957075	41.21987334	-8.54614542	145.3	160.8	13.25	11	10
175	14634	1478957070	554	1478957076	41.21975426	-8.54609446	145	160.6	13.5	10	10
176	14634	1478957071	570	1478957077	41.2196342	-8.54603848	145.6	160.2	13.5	9	9
177	14634	1478957072	541	1478957078	41.21953026	-8.54598089	145.7	159.9	13	9	9
178	14634	1478957073	549	1478957079	41.21943016	-8.54593184	146.4	160.8	12.5	9	9
179	14634	1478957074	562	1478957080	41.21934155	-8.54587639	145.6	160.7	11.75	9	9
180	14634	1478957075	563	1478957081	41.21924967	-8.54583513	145.5	160.8	11.25	9	9
181	14634	1478957076	545	1478957082	41.21915945	-8.54578482	145.2	159.1	10.75	9	9
182	14634	1478957077	541	1478957083	41.21906742	-8.54574231	145.4	159.6	10.25	9	9
183	14634	1478957078	549	1478957084	41.21898957	-8.54570728	144.9	159.7	9.5	9	9
184	14634	1478957079	544	1478957085	41.21892167	-8.54568231	145	162.5	8.5	9	10
185	14634	1478957080	555	1478957086	41.21885401	-8.54567139	146.5	169	8	9	10
186	14634	1478957081	541	1478957087	41.21877333	-8.54566466	146.5	174.3	8.5	9	11
187	14634	1478957082	542	1478957088	41.21868683	-8.54563634	147.5	167.7	9.25	9	11
188	14634	1478957083	555	1478957089	41.21860436	-8.54558847	146.9	154.7	10.25	10	11
189	14634	1478957084	626	1478957090	41.21850571	-8.54552045	147.2	151.3	12	10	11
190	14634	1478957085	559	1478957091	41.21838958	-8.54543629	147.9	153.1	13.75	9	11
191	14634	1478957086	556	1478957092	41.21827134	-8.54535901	147.7	154.2	14.25	10	11
192	14634	1478957087	645	1478957093	41.21814202	-8.54527652	147.6	153.3	15	10	11
193	14634	1478957088	557	1478957094	41.21802196	-8.54518186	146.9	151	15.25	10	11
194	14634	1478957090	71	1478957095	41.21789334	-8.5450825	148.7	149.2	15.5	9	11
195	14634	1478957092	121	1478957097	41.21766061	-8.54490208	150.7	148	15.25	9	11
196	14634	1478957093	661	1478957099	41.21742076	-8.54469961	152.6	148	15.75	9	11
197	14634	1478957094	718	1478957100	41.21730131	-8.54459516	153.1	147.6	16	10	11
198	14634	1478957097	101	1478957102	41.2170574	-8.54438848	154.3	148.2	15.75	9	11
199	14634	1478957099	95	1478957104	41.21682453	-8.54419876	155.8	148.4	15	9	11
200	14634	1478957100	569	1478957106	41.21661385	-8.54405055	158.8	152.7	12.75	9	11
201	14634	1478957101	553	1478957107	41.21652189	-8.54397397	156.2	151.2	12.25	9	11
202	14634	1478957102	545	1478957108	41.21642717	-8.54391937	157.5	156.6	11.5	9	11
203	14634	1478957132	515	1478957137	41.21334107	-8.54641164	166.9	222.7	13.75	3	9
204	14634	1478957133	548	1478957139	41.2131948	-8.54658365	167.5	221.1	13.5	4	9
205	14634	1478957134	547	1478957140	41.21310234	-8.54668426	168	218.6	13.5	4	8
206	14634	1478957135	562	1478957141	41.21300745	-8.54678225	168	215.6	13.25	4	8
207	14634	1478957136	574	1478957142	41.21290784	-8.5468657	168.5	212	13.25	4	9
208	14634	1478957137	556	1478957143	41.2128062	-8.54693728	168.3	208.1	12.75	3	9
209	14634	1478957138	548	1478957144	41.21270031	-8.5469953	168.8	204.4	12.5	3	10
210	14634	1478957139	547	1478957145	41.21259646	-8.54704898	169.4	201.5	12	3	10
211	14634	1478957140	556	1478957146	41.21249428	-8.54709548	168.8	199	12	3	10
212	14634	1478957141	558	1478957147	41.21239107	-8.54713876	168.6	197.2	11.75	3	10
213	14634	1478957142	617	1478957148	41.21229526	-8.54717626	168.9	196.8	11.75	3	10
214	14634	1478957143	558	1478957149	41.21218437	-8.5472063	169.8	193.2	12.25	4	10
215	14634	1478957144	564	1478957150	41.2120839	-8.5472343	170.5	193.9	11.5	3	10
216	14634	1478957145	549	1478957151	41.21200142	-8.54728582	170.2	201.2	11	3	10
217	14634	1478957146	549	1478957152	41.2119258	-8.54734425	170.9	209.1	9.75	3	10
218	14634	1478957147	564	1478957153	41.21186018	-8.54739279	170.7	210.2	8	3	10
219	14634	1478957149	126	1478957154	41.2117993	-8.54743345	170.6	207.7	7.25	4	10
220	14634	1478957150	604	1478957156	41.21170808	-8.54750506	169.8	213.5	5.75	3	10
221	14634	1478957151	755	1478957157	41.21168068	-8.54755169	169.3	229.9	5.5	4	10
222	14634	1478957154	74	1478957159	41.21169965	-8.54772106	168.4	288.6	8	4	10
223	14634	1478957156	121	1478957161	41.21183549	-8.54789028	168.4	319.9	11	3	10
224	14634	1478957157	627	1478957163	41.21200322	-8.54807423	168.9	319.6	12.25	3	10
225	14634	1478957158	739	1478957164	41.2120926	-8.54818313	169.6	320	13	4	10
226	14634	1478957160	555	1478957166	41.21228466	-8.5484017	170.6	319.5	14.25	4	10
227	14634	1478957161	627	1478957167	41.21238601	-8.54851948	169.4	319.2	14.5	4	10
228	14634	1478957162	559	1478957168	41.21248873	-8.54863199	169.7	319.5	14.75	4	10
229	14634	1478957163	551	1478957169	41.21258708	-8.54875035	169.3	317.8	14.5	4	9
230	14634	1478957164	568	1478957170	41.21268151	-8.54886479	169	316.8	14.5	4	9
231	14634	1478957165	571	1478957171	41.21277404	-8.54898238	168.5	316.7	14	4	9
232	14634	1478957167	136	1478957172	41.21286708	-8.54908598	168.5	317	13.25	4	9
233	14634	1478957168	674	1478957174	41.21300465	-8.5492498	169.9	319.5	9.5	3	8
234	14634	1478957169	718	1478957175	41.21306504	-8.54930763	170.5	326	7.5	3	8
235	14634	1478957171	740	1478957177	41.21317538	-8.54931822	171.3	1.9	5.75	3	10
236	14634	1478957173	557	1478957179	41.21327273	-8.5493833	172.6	318	6	3	10
237	14634	1478957174	568	1478957180	41.21328603	-8.54946316	172.8	283.8	6.5	3	9
238	14634	1478957175	633	1478957181	41.21326271	-8.54954403	173	250.2	7	4	9
239	14634	1478957176	569	1478957182	41.21321554	-8.54960665	173.5	224.9	7.5	4	9
240	14634	1478957177	553	1478957183	41.21316397	-8.54966784	173.4	217.9	8.25	4	9
241	14634	1478957178	615	1478957184	41.21310979	-8.54974691	173.5	226.1	9.25	4	9
242	14634	1478957179	567	1478957185	41.21305243	-8.54984987	173.6	232.4	10.5	4	9
243	14634	1478957180	550	1478957186	41.21299799	-8.54996231	173.7	234.8	11	4	10
244	14634	1478957181	550	1478957187	41.21294162	-8.55008057	173	236.5	11.75	3	11
245	14634	1478957182	631	1478957188	41.21287816	-8.55020599	172.3	236.5	13	4	11
246	14634	1478957183	572	1478957189	41.2128052	-8.55034285	171.9	235.4	13.75	4	11
247	14634	1478957184	551	1478957190	41.21273716	-8.55047943	171.8	235.7	13.75	3	11
248	14634	1478957185	551	1478957191	41.21267447	-8.55061722	171	237.3	13.5	3	11
