gpstime	latitude	longitude	altitude	speed	heading	hpdop	vdop	pdop
1518264345.00	41.241374317	-8.562250633	107.1	11.884	176.80	1.6	?	?
1518264346.00	41.241267050	-8.562250667	107.5	11.729	179.60	1.8	3.9	4.3
1518264347.00	41.241161750	-8.562251183	108.6	11.575	179.80	1.8	3.9	4.3
1518264348.00	41.241057883	-8.562249867	109.6	11.524	179.10	1.8	3.9	4.3
1518264349.00	41.240954033	-8.562247750	110.6	11.626	178.60	1.8	3.9	4.3
1518264350.00	41.240849883	-8.562243967	111.6	11.781	178.40	1.8	3.9	4.3
1518264351.00	41.240745300	-8.562240083	112.5	11.781	178.50	1.7	?	?
1518264352.00	41.240639117	-8.562238983	113.4	11.987	179.90	1.7	?	?
1518264353.00	41.240525667	-8.562244100	111.9	11.935	182.30	1.8	3.9	4.3
1518264354.00	41.240414900	-8.562254000	111.4	11.781	186.30	1.8	3.9	4.3
1518264355.00	41.240308300	-8.562278133	111.1	11.524	192.20	1.8	3.9	4.3
1518264356.00	41.240202083	-8.562320917	110.0	11.575	198.80	2.2	5.2	5.7
1518264357.00	41.240102483	-8.562385083	108.8	11.729	207.20	1.8	3.9	4.3
1518264358.00	41.240014600	-8.562458500	108.0	11.678	214.50	1.8	3.9	4.3
1518264359.00	41.239935517	-8.562541250	107.7	11.729	221.20	1.1	?	?
1518264360.00	41.239860800	-8.562640350	106.6	11.884	227.50	1.1	?	?
1518264361.00	41.239789550	-8.562747250	105.5	11.987	230.90	1.8	?	?
1518264362.00	41.239721150	-8.562861950	104.8	12.038	233.20	1.8	?	?
1518264363.00	41.239657717	-8.562976617	103.6	11.935	234.80	1.8	?	?
1518264364.00	41.239597850	-8.563093533	102.4	11.884	236.90	1.8	?	?
1518264365.00	41.239542250	-8.563212450	101.1	11.832	239.10	1.8	?	?
1518264366.00	41.239491400	-8.563335200	99.8	11.781	241.90	1.9	?	?
1518264367.00	41.239445517	-8.563462050	98.7	11.781	245.10	2.0	?	?
1518264368.00	41.239401683	-8.563597350	97.5	11.935	247.30	2.0	?	?
1518264369.00	41.239361717	-8.563739317	96.2	12.141	249.50	2.0	?	?
1518264370.00	41.239316150	-8.563879950	95.5	12.141	250.10	2.1	4.1	4.6
1518264374.00	41.239273717	-8.564021600	94.6	?	?	20.7	32.2	38.3
1518264376.00	41.239139133	-8.564539700	93.5	?	?	7.1	1.0	7.2
1518264379.00	41.239087250	-8.564761383	94.3	?	?	7.1	1.0	7.2
1518264380.00	41.238935900	-8.565211133	89.8	13.273	244.90	20.3	31.7	37.7
1518264381.00	41.238903017	-8.565338900	88.4	12.861	243.20	9.6	?	?
1518264382.00	41.238903733	-8.565407983	88.3	10.392	243.00	9.6	?	?
1518264383.00	41.238877317	-8.565518067	87.4	8.488	245.50	57.7	?	?
1518264384.00	41.238862333	-8.565591550	87.9	6.431	245.50	9.6	?	?
1518264385.00	41.238848683	-8.565647067	87.8	5.042	244.20	9.6	?	?
1518264386.00	41.238834200	-8.565666033	87.7	3.292	233.20	7.8	?	?
1518264387.00	41.238838667	-8.565666650	90.2	1.183	215.00	7.8	?	?
1518264388.00	41.238844167	-8.565650800	90.6	0.463	88.70	8.5	?	?
1518264389.00	41.238846950	-8.565645167	91.0	0.617	52.50	10.7	?	?
1518264390.00	41.238853933	-8.565633317	91.1	0.772	37.10	10.7	?	?
1518264391.00	41.238856300	-8.565629617	91.4	0.720	32.60	10.7	?	?
1518264392.00	41.238857333	-8.565627150	91.4	0.514	36.90	10.7	?	?
1518264393.00	41.238862767	-8.565620217	91.5	0.617	33.70	10.7	?	?
1518264394.00	41.238867267	-8.565613533	91.5	0.566	32.90	10.7	?	?
1518264395.00	41.238871983	-8.565617667	93.8	0.412	27.80	9.5	?	?
1518264396.00	41.238867850	-8.565626233	96.1	0.154	200.90	9.5	?	?
1518264397.00	41.238864517	-8.565646933	100.0	0.206	247.10	2.0	?	?
1518264398.00	41.238859167	-8.565673167	104.7	0.103	322.20	3.7	?	?
1518264399.00	41.238859833	-8.565686600	108.5	0.154	310.60	2.0	?	?
1518264400.00	41.238863233	-8.565689917	110.8	0.103	335.00	1.3	?	?
1518264401.00	41.238865050	-8.565692783	113.2	0.257	239.80	1.3	?	?
1518264402.00	41.238864333	-8.565695850	114.8	0.463	235.10	1.3	?	?
1518264403.00	41.238864883	-8.565697300	116.3	0.514	226.40	1.3	?	?
1518264404.00	41.238864800	-8.565706117	116.8	0.926	230.30	1.3	?	?
1518264405.00	41.238843833	-8.565716900	118.2	1.955	189.40	1.3	?	?
1518264406.00	41.238818383	-8.565714433	118.7	2.881	170.90	1.4	?	?
1518264407.00	41.238803583	-8.565684433	117.9	2.984	145.70	1.4	?	?
1518264408.00	41.238798000	-8.565654067	117.2	2.572	117.20	1.4	?	?
1518264409.00	41.238788850	-8.565635850	116.6	1.955	126.50	4.8	13.4	14.2
1518264410.00	41.238777733	-8.565617533	115.3	1.852	134.20	2.0	?	?
1518264411.00	41.238779533	-8.565605817	114.5	1.183	103.60	2.0	?	?
1518264412.00	41.238784800	-8.565585717	114.2	1.852	72.20	2.0	?	?
1518264413.00	41.238800550	-8.565553317	114.1	3.395	59.40	2.1	?	?
1518264414.00	41.238825583	-8.565511100	114.2	4.784	54.20	1.7	?	?
1518264415.00	41.238851617	-8.565461150	113.9	5.402	57.10	1.6	?	?
1518264416.00	41.238880667	-8.565393600	113.8	6.739	61.80	1.6	?	?
1518264418.00	41.238920333	-8.565307750	113.7	?	?	2.1	?	?
1518264419.00	41.239038517	-8.565093733	114.0	11.987	56.30	14.4	?	?
1518264420.00	41.239103533	-8.564967717	114.3	12.707	56.70	14.5	?	?
1518264421.00	41.239168033	-8.564842917	114.2	13.015	57.50	1.8	?	?
1518264422.00	41.239231633	-8.564716850	115.2	12.913	56.60	3.8	?	?
1518264423.00	41.239268633	-8.564571300	117.1	12.347	62.60	3.8	?	?
1518264424.00	41.239299233	-8.564442550	112.9	12.038	66.20	4.2	?	?
1518264426.00	41.239340417	-8.564307183	113.6	?	?	4.2	?	?
1518264427.00	41.239409767	-8.564033267	114.1	11.729	70.20	4.2	?	?
1518264428.00	41.239428367	-8.563903017	114.7	11.421	72.30	4.2	?	?
1518264429.00	41.239448767	-8.563763683	114.6	11.369	74.90	4.2	?	?
1518264430.00	41.239482650	-8.563607867	113.4	11.884	75.00	4.2	?	?
1518264431.00	41.239516067	-8.563448567	112.8	12.192	75.30	4.2	?	?
1518264432.00	41.239527483	-8.563312733	112.1	12.450	67.20	25.8	?	?
1518264433.00	41.239568500	-8.563169967	112.6	12.192	61.60	26.0	?	?
1518264434.00	41.239621983	-8.563047033	112.6	12.141	56.90	5.5	?	?
1518264435.00	41.239681383	-8.562925533	112.5	12.295	54.00	5.5	?	?
1518264436.00	41.239747550	-8.562809633	112.4	12.347	50.80	5.5	?	?
1518264437.00	41.239816917	-8.562695983	112.2	12.398	49.10	3.7	?	?
1518264438.00	41.239889817	-8.562584767	112.1	12.501	47.90	3.7	?	?
1518264439.00	41.239968617	-8.562480117	111.8	12.552	44.30	5.5	?	?
1518264440.00	41.240055050	-8.562385017	111.3	12.552	38.20	5.5	?	?
1518264441.00	41.240152000	-8.562307800	110.9	12.604	30.20	5.5	?	?
1518264442.00	41.240257700	-8.562249983	110.6	12.707	22.30	4.3	?	?
1518264443.00	41.240370467	-8.562217183	111.7	12.655	13.80	1.9	?	?
1518264444.00	41.240484117	-8.562190283	112.8	12.655	7.80	1.9	?	?
1518264445.00	41.240598350	-8.562177850	113.4	12.655	1.90	1.9	?	?
1518264446.00	41.240713833	-8.562173333	114.1	12.758	358.60	1.5	?	?
1518264447.00	41.240826767	-8.562180400	113.4	12.810	357.30	1.5	?	?
1518264448.00	41.240940950	-8.562189217	112.6	12.913	357.00	1.5	?	?
1518264449.00	41.241052800	-8.562196250	111.7	12.758	357.70	1.6	?	?
1518264450.00	41.241163883	-8.562203800	110.3	12.552	358.40	1.5	?	?
1518264451.00	41.241274717	-8.562212733	108.8	12.501	357.90	1.5	?	?
1518264452.00	41.241385583	-8.562219283	107.3	12.450	358.30	1.5	?	?
